,title,year
602,Die blaue Grenze,2005
603,Far Cry,2008
604,Herbie Fully Loaded,2005
605,The Ice Harvest,2005
606,Lepel,2005
607,Open Season,2006
608,"Tu vas rire, mais je te quitte",2005
609,The Witches Hammer,2006
610,C.R.A.Z.Y.,2005
611,The Baxter,2005
612,The Curse of El Charro,2005
613,Le scaphandre et le papillon,2007
614,Say Uncle,2005
615,Fierce People,2005
616,A Good Year,2006
617,Greed,2006
618,The Helix... Loaded,2005
619,Der kleine Eisbär 2: Die geheimnisvolle Insel,2005
620,Brooklyn Lobster,2005
621,"Paris, je t'aime",2006
622,Sin City,2005
623,Xiang ri kui,2005
624,Tamara,2005
625,Underworld: Evolution,2006
626,Breach,2007
627,Æon Flux,2005
628,Avant qu'il ne soit trop tard,2005
629,Bab el web,2005
630,Beowulf & Grendel,2005
631,Chok-Dee,2005
632,Just Sex and Nothing Else,2005
633,L'empire des loups,2005
634,The Great New Wonderful,2005
635,Hating Alison Ashley,2005
636,The Dark Hours,2005
637,Iznogoud,2005
638,Comme tout le monde,2006
639,The New World,2005
640,Ivkova slava,2005
641,Sólo Dios sabe,2006
642,Unge Andersen,2005
643,Abominable,2006
644,The Big White,2005
645,Bumer: Film vtoroy,2006
646,Casanova,2005
647,The Cave,2005
648,Cemetery Gates,2006
649,Chaos,2005
650,Supercross,2005
651,Gardener of Eden,2007
652,Green River,2008
653,Last Days,2005
654,Snuff-Movie,2005
655,Max Havoc: Ring of Fire,2006
656,Nordkraft,2005
657,Oskar & Josefine,2005
658,Perfect Creature,2006
659,Roll Bounce,2005
660,De scheepsjongens van Bontekoe,2007
661,The Sisterhood of the Traveling Pants,2005
662,Solkongen,2005
663,State Property 2,2005
664,Think Tank,2006
665,The Ape,2005
666,Chasing Ghosts,2005
667,Cloud 9,2006
668,Everything Is Illuminated,2005
669,The Exorcism of Emily Rose,2005
670,Even Money,2006
671,Little Children,2006
672,My Sassy Girl,2008
673,Running Scared,2006
674,Les mauvais joueurs,2005
675,The Notorious Bettie Page,2005
676,Irish Jam,2006
677,The Lives of Others,2006
678,The Moguls,2005
679,A Scanner Darkly,2006
680,Sky High,2005
681,Southland Tales,2006
682,Suits on the Loose,2005
683,Rudo y Cursi,2008
684,The 40 Year Old Virgin,2005
685,The Wild,2006
686,Rang De Basanti,2006
687,The Absence of Light,2006
688,All the King's Men,2006
689,Barfuss,2005
690,The Deal,2005
691,Chaos,2005
692,Loggerheads,2005
693,Nearing Grace,2005
694,Stestí,2005
695,"The Prize Winner of Defiance, Ohio",2005
696,Sametoví vrazi,2005
697,Shut Up and Shoot Me,2005
698,Skrítek,2005
699,Zathura: A Space Adventure,2005
700,El amor - primera parte,2005
701,The Chumscrubber,2005
702,Dobro ustimani mrtvaci,2005
703,The Eye,2008
704,The Guardian,2006
705,Lorelei,2005
706,Pucked,2006
707,Our Very Own,2005
708,Szöke kóla,2005
709,Pooh's Heffalump Movie,2005
710,The Sisters,2005
711,Le survenant,2005
712,Sílení,2005
713,Transamerica,2005
714,The Truth About Love,2005
715,The Second Front,2005
716,War of the Worlds,2005
717,Complete Guide to Guys,2005
718,Dirty Deeds,2005
719,Fugitive Hunter,2005
720,Full Grown Men,2006
721,A herceg haladéka,2006
722,The Departed,2006
723,Kamenák 3,2005
724,The Mistress of Spices,2005
725,Príbehy obycejného sílenství,2005
726,Kousek nebe,2005
727,Sweeney Todd: The Demon Barber of Fleet Street,2007
728,Knetter,2005
729,Munich,2005
730,Voksne mennesker,2005
731,Wild Girls Gone,2007
732,Firewall,2006
733,Bad News Bears,2005
734,Der var engang en dreng - som fik en lillesøster me,2006
735,Flightplan,2005
736,Guy X,2005
737,The Heartbreak Kid,2007
738,Kids in America,2005
739,Last Holiday,2006
740,The Life and Hard Times of Guy Terrifico,2005
741,Love Wrecked,2005
742,Hrubes a Mares jsou kamarádi do deste,2005
743,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005
744,Grilled,2006
745,Poseidon,2006
746,Les poupées russes,2005
747,East Broadway,2006
748,Surveillance,2008
749,Shabd,2005
750,The Alibi,2006
751,Cargo,2006
752,Cheong yeon,2005
753,Come Away Home,2005
754,Dnevnoy dozor,2006
755,Espace détente,2005
756,Last Sunset,2006
757,Hunting Season,2005
758,Hustle & Flow,2005
759,The King Maker,2005
760,The Lake House,2006
761,Mi Mejor Enemigo,2005
762,The Mighty Celt,2005
763,Nim's Island,2008
764,La noche del hermano,2005
765,On a Clear Day,2005
766,Only the Brave,2006
767,Oublier Cheyenne,2005
768,La petite Chartreuse,2005
769,Resurrection: The J.R. Richard Story,2005
770,Sidekick,2005
771,Slingshot,2005
772,Soul Searcher,2005
773,Taxidermia,2006
774,Thanks to Gravity,2006
775,Threat,2006
776,Tideland,2005
777,88 Minutes,2007
778,All the Invisible Children,2005
779,L'annulaire,2005
780,Anthony Zimmer,2005
781,Breakfast on Pluto,2005
782,A Previous Engagement,2008
783,The Dark,2005
784,De battre mon coeur s'est arrêté,2005
785,Llamando a un ángel,2008
786,L'ennemi public n°1,2008
787,Downloading Nancy,2008
788,One Day in Europe,2005
789,Hell Ride,2008
790,Hellboy II: The Golden Army,2008
791,Messages,2007
792,Return of the Living Dead: Necropolis,2005
793,Return of the Living Dead: Rave to the Grave,2005
794,Broken Flowers,2005
795,Winners and Losers,2005
796,WTC View,2005
797,The World's Fastest Indian,2005
798,29 Reasons to Run,2006
799,Tout pour plaire,2005
800,Being Cyrus,2005
801,Animal,2005
802,L'antidote,2005
803,Brutal Incasso,2005
804,Brice de Nice,2005
805,Brideshead Revisited,2008
806,Chaos,2006
807,Delirious,2006
808,Desolation Sound,2005
809,Half Light,2006
810,The Hawk Is Dying,2006
811,Little Manhattan,2005
812,Mrs Henderson Presents,2005
813,Evan Almighty,2007
814,Puritan,2005
815,Shrek the Third,2007
816,Jug jugoistok,2005
817,Spider-Man 3,2007
818,Sulanga Enu Pinisa,2005
819,The Unseen,2005
820,Wassup Rockers,2005
821,Les yeux clairs,2005
822,Cake,2005
823,Charlotte's Web,2006
824,Elizabeth: The Golden Age,2007
825,A porcelánbaba,2005
826,Intermedio,2005
827,Kinamand,2005
828,Off Screen,2005
829,The War Within,2005
830,Pride & Prejudice,2005
831,Quid Pro Quo,2008
832,The Rainbowmaker,2008
833,7 días,2005
834,Amu,2005
835,37 og et halvt,2005
836,Barnyard,2006
837,La boîte noire,2005
838,The Quiet,2005
839,Fated,2006
840,Final Destination 3,2006
841,The Fountain,2006
842,Vinterkyss,2005
843,A londoni férfi,2007
844,Mama's Boy,2007
845,Marock,2005
846,Minotaur,2006
847,Mortuary,2005
848,Red Doors,2005
849,Talladega Nights: The Ballad of Ricky Bobby,2006
850,Seven Mummies,2006
851,American Crude,2008
852,Beed-e majnoon,2005
853,Boy s tenyu,2005
854,Boy Eats Girl,2005
855,The Trouble with Dee Dee,2005
856,Dus,2005
857,End Game,2006
858,Fool's Gold,2005
859,Hate Crime,2005
860,Heart of the Beholder,2005
861,Hirsiz Var!,2005
862,Hounddog,2007
863,Greener Mountains,2005
864,Kaal,2005
865,Lemming,2005
866,Keeping Up with the Steins,2006
867,Fuera del cielo,2006
868,Martian Child,2007
869,Me and You and Everyone We Know,2005
870,River's End,2005
871,Mongol,2007
872,Mr. Fix It,2006
873,Para que no me olvides,2005
874,Peregon,2006
875,Pobeg,2005
876,Resurrecting the Champ,2007
877,The Secret Life of Bees,2008
878,Sehnsucht,2006
879,"Semen, una historia de amor",2005
880,The Spiderwick Chronicles,2008
881,Tournament of Dreams,2007
882,Wolf Creek,2005
883,Volkodav iz roda Serykh Psov,2006
884,Match Point,2005
885,Akoibon,2005
886,300,2006
887,American Gun,2005
888,Bandidas,2006
889,Becoming Jane,2007
890,Crazylove,2005
891,Dark Matter,2007
892,Dishdogz,2005
893,Elaan,2005
894,Glass Trap,2005
895,Jadesoturi,2006
896,Kalamazoo?,2006
897,The Kid & I,2005
898,Lethal Eviction,2005
899,Must Love Dogs,2005
900,Gymnaslærer Pedersen,2006
901,Pledge This!,2006
902,Les mots bleus,2005
903,Room,2005
904,Snakes on a Plane,2006
905,Le temps qui reste,2005
906,Two for the Money,2005
907,Unbeatable Harold,2006
908,Idlewild,2006
909,12 and Holding,2005
910,9 rota,2005
911,Annapolis,2006
912,L'avion,2005
913,Checking Out,2005
914,Confession,2005
915,Dangerous Parking,2007
916,Dreamland,2006
917,Factotum,2005
918,Forest of the Damned,2005
919,Hank Williams First Nation,2005
920,Headspace,2005
921,Her Minor Thing,2005
922,Kampfansage - Der letzte Schüler,2005
923,Klimt,2006
924,Little Athens,2005
925,Living the Dream,2006
926,Ma quando arrivano le ragazze?,2005
927,Manuale d'amore,2005
928,Wu ji,2005
929,Neverwas,2005
930,The Novice,2006
931,Quando sei nato non puoi più nasconderti,2005
932,Romanzo criminale,2005
933,Der rote Kakadu,2006
934,The Surfer King,2006
935,Tickets,2005
936,TrashHouse,2005
937,Transformers,2007
938,The Virgin of Juarez,2006
939,Die Wilden Kerle 2,2005
940,Wish You Were Here,2005
941,5up 2down,2006
942,Adams æbler,2005
943,Un año sin amor,2005
944,Beverly Kills,2005
945,The Cake Eaters,2007
946,Death Tunnel,2005
947,Dreamer: Inspired by a True Story,2005
948,Goldene Zeiten,2006
949,Novel Romance,2006
950,Flags of Our Fathers,2006
951,Jacquou le croquant,2007
952,Jarhead,2005
953,Junebug,2005
954,Land of the Dead,2005
955,Lie with Me,2005
956,Little Fugitive,2006
957,La maison de Nina,2005
958,Matrimonium,2005
959,Max und Moritz Reloaded,2005
960,Memory,2006
961,Mere Jeevan Saathi,2006
962,Mi nismo andjeli 2,2005
963,Mr. Hell,2006
964,Offscreen,2006
965,Partner(s),2005
966,Phir Hera Pheri,2006
967,Princess,2006
968,Psychopathia Sexualis,2006
969,En soap,2006
970,Spirit Trap,2005
971,The Hit,2007
972,La tigre e la neve,2005
973,Pittsburgh,2006
974,Wah-Wah,2005
975,The Three Burials of Melquiades Estrada,2005
976,"Sexo, amor y otras perversiones",2006
977,Abo Ali,2005
978,Baabul,2006
979,Believe in Me,2006
980,Chromophobia,2005
981,Cruel World,2005
982,Dans tes rêves,2005
983,Donkey Xote,2007
984,Doom,2005
985,Eighteen,2005
986,Find Me Guilty,2006
987,Gespenster,2005
988,Graves End,2005
989,Holly,2006
990,In the Land of Women,2007
991,Kim Novak badade aldrig i Genesarets sjö,2005
992,The Kite Runner,2007
993,Living 'til the End,2005
994,The Marine,2006
995,Mr. Woodcock,2007
996,My Brother... Nikhil,2005
997,Nine Lives,2005
998,A Prairie Home Companion,2006
999,Ronda nocturna,2005
1000,Stranger Than Fiction,2006
1001,The Tale of Despereaux,2008
1002,Unkenrufe,2005
1003,The Texas Chainsaw Massacre: The Beginning,2006
1004,Viruddh... Family Comes First,2005
1005,Idole instantanée,2005
1006,El aura,2005
1007,Combien tu m'aimes?,2005
1008,Di buen día a papá,2005
1009,Infamous,2006
1010,A Little Trip to Heaven,2005
1011,Man About Town,2006
1012,Opal Dream,2006
1013,Sauf le respect que je vous dois,2005
1014,Schläfer,2005
1015,La guerra di Mario,2005
1016,Shooting Dogs,2005
1017,Turning Green,2005
1018,Zhmurki,2005
1019,The Witch's Sabbath,2005
1020,Bickford Shmeckler's Cool Ideas,2006
1021,Domino,2005
1022,Kontakt,2005
1023,Street Kings,2008
1024,Control,2007
1025,Zerophilia,2005
1026,Alpha Male,2006
1027,A New Wave,2006
1028,"Veritas, Prince of Truth",2007
1029,Gridiron Gang,2006
1030,Kombat Sechzehn,2005
1031,Mrs. Palfrey at the Claremont,2005
1032,The Proposition,2005
1033,Red Eye,2005
1034,Steal Me,2005
